Id,Category
1,gettone+V
2,incidentali+V
3,involtare+V
4,lirre+V
5,comunistizzare+V
6,vidimare+V
7,imbrode+V
8,strillar+V
9,cifrare+V
10,compassare+V
11,cuere+V
12,snobbare+V
13,tesserere+V
14,coagulare+V
15,somatizzare+V
16,impoverimire+A
17,smungiare+V
18,abbuffare+V
19,meravigliare+V
20,risucchiò+V
21,sesquipedale+V
22,timide+V
23,nauseare+V
24,ingozzare+V
25,stimare+V
26,relazione+V
27,sorridare+V
28,illumiire+V
29,concitiare+V
30,dissecare+V
31,deregolamentò+V
32,elettrizze+V
33,ripiover+V
34,ottimizzare+V
35,accordare+V
36,barrare+V
37,arguire+V
38,sfuggiere+V
39,ritorrre+V
40,rifiatare+V
41,sgobbire+V
42,adoprare+V
43,abbiglierà+V
44,complimentire+V
45,plurale+V
46,soprasseder+V
47,affermarere+V
48,frusciare+V
49,amareggare+V
50,autoalimentare+V
51,escutiare+V
52,secrre+V
53,talentare+V
54,derapare+V
55,distinguire+V
56,frizzare+V
57,sincopare+V
58,tentacolare+V
59,scomponibili+V
60,microbiologi+V
61,disinnesterò+V
62,foracchierò+V
63,fertilizzare+V
64,smaniare+V
65,infischiare+V
66,semicircolire+V
67,cotoniare+V
68,fioriere+V
69,collocabile+V
70,decantare+V
71,tradizionalisnone+V
72,fornitore+A
73,acclimatare+V
74,infangherà+V
75,sterilizzare+V
76,evoluire+V
77,inserire+V
78,sintonizzare+V
79,impecare+V
80,professare+V
81,svantaggare+V
82,appaltare+V
83,spaccare+V
84,astrologare+V
85,biascicare+A
86,scapitare+V
87,rivolte+V
88,sgomentare+V
89,disattrezze+V
90,nomre+V
91,viados+V
92,mangiucchiare+V
93,guaire+V
94,abbuffarere+V
95,vagare+V
96,ricomunicare+V
97,attraccare+V
98,delineare+V
99,antilicenziamenre+V
100,dittatorere+V
101,anticostituzionale+V
102,standardizzare+V
103,sintonizzare+V
104,sincerare+V
105,girovagare+V
106,sincerare+V
107,decadire+A
108,ammorbare+V
109,bulinare+V
110,arricciare+V
111,aiole+V
112,ricomunicare+V
113,corre+V
114,molcare+V
115,sintonizzerò+V
116,preavvisar+V
117,sessantottiire+V
118,elaboratore+A
119,affumicare+V
120,mugghiare+V
121,lasciare+V
122,eccediare+V
123,torturatore+V
124,palesare+V
125,ingesserà+V
126,posizionare+V
127,premetterà+V
128,naturalistica+A
129,prevalere+V
130,inviperiere+V
131,rimontò+V
132,putrefassere+V
133,denotare+V
134,furtire+V
135,inguaiire+V
136,bisbocrre+V
137,ghermiere+V
138,sillogizzare+V
139,sgele+V
140,scevare+V
141,commettrre+V
142,lerrre+V
143,svoltare+V
144,rimembrire+V
145,corallina+V
146,appiedare+V
147,scolerò+V
148,invidierà+V
149,defluire+V
150,preordinare+V
151,citofonare+V
152,annualizzare+V
153,dileguare+V
154,pupillo+V
155,ammaestrare+V
156,superbolli+V
157,mugolre+V
158,rimpatri+V
159,riallungare+V
160,appuntare+V
161,complimentodere+V
162,tergiversare+V
163,scarnificare+V
164,confluiere+V
165,serbare+V
166,immergerò+V
167,avvaler+V
168,coreografare+V
169,ammutolire+V
170,sovrapproduzioire+V
171,cruscheggare+V
172,controfirmare+V
173,enfatizzò+V
174,stipuli+V
175,interpellire+V
176,vigiliare+V
177,prolurre+V
178,lessirre+A
179,incatramare+V
180,molcio+V
181,fratturire+V
182,caramelloguere+V
183,insiliare+V
184,bahiaire+V
185,risconterò+V
186,sorprendi+V
187,chiamerà+V
188,crepuscolare+V
189,impermalo+V
190,frammentare+V
191,apparterre+A
192,spiiare+V
193,ritagliare+V
194,scagionare+V
195,autoconvinrre+V
196,emulare+V
197,incendiare+V
198,strapagarere+V
199,affascinare+V
200,debilitare+V
201,distingue+V
202,sgobbare+V
203,risanare+V
204,insalubre+V
205,intasare+V
206,accoccolare+V
207,espunge+V
208,pispigliare+V
209,disarmonirre+V
210,verseggare+V
211,ingraziiare+V
212,srotolare+V
213,normalizzare+V
214,decontestualizzare+V
215,rivendare+V
216,attristare+V
217,appesantire+V
218,abbottonare+V
219,fiocinare+V
220,vitalismi+V
221,frazionabili+V
222,impermeabilizzare+V
223,specificre+V
224,reinserire+V
225,circospeggere+V
226,sventagliarere+V
227,assicurare+A
228,troncare+V
229,infiammare+V
230,dissecare+V
231,desinare+V
232,speronare+V
233,inscatolare+V
234,sfrangare+V
235,assaporare+V
236,stereotipizzare+V
237,rubacchiare+V
238,allargare+V
239,inquadrare+V
240,soggiornare+V
241,spaginare+V
242,avvalgere+V
243,discacciare+V
244,debilitare+V
245,spoetizzò+V
246,rincantucciare+V
247,mummificare+V
248,intingrre+V
249,insinuare+V
250,erigio+V
251,pioviggiire+V
252,impalcare+V
253,intasare+V
254,stordir+V
255,ortodossrire+V
256,destrutturare+V
257,magnetizzire+V
258,imbandierare+V
259,compassiare+V
260,contrapporre+V
261,incapricciare+V
262,chioccolare+V
263,bibliofili+V
264,precludare+V
265,ricorre+V
266,comunicare+V
267,juventina+V
268,raffrenare+V
269,chiavare+V
270,pugnalare+V
271,crocidare+V
272,invasare+V
273,mistura+V
274,imbevare+V
275,foracchiare+V
276,recidire+V
277,saltare+V
278,leggicchiare+A
279,denotare+V
280,entrare+V
281,completerò+V
282,solubilizzire+V
283,decretazioire+V
284,promuovare+V
285,rintontiere+V
286,rischiarare+V
287,autopromuore+V
288,curvature+V
289,accorare+V
290,sconore+V
291,oltrepassare+V
292,riflettere+V
293,bastoire+V
294,stellarere+V
295,orchestrerà+V
296,campiorre+V
297,amnistiare+V
298,intrigare+V
299,rieducare+V
300,sbiancare+V
301,diurna+V
302,addiere+V
303,ripromettiare+V
304,comprore+V
305,autorizzare+A
306,remare+V
307,roccioire+V
308,strappare+V
309,rincarerà+V
310,rifrangerà+V
311,intossicare+V
312,vaticinare+V
313,alluminre+V
314,snebbiiare+V
315,autogoverire+V
316,imbavere+V
317,simule+V
318,indottriniare+V
319,co-presiederrre+V
320,bollare+V
321,assommare+V
322,sedurre+V
323,stimmatizzarere+V
324,districare+V
325,ridiere+V
326,strabuzzare+V
327,nore+V
328,dissanguare+V
329,coalizzare+V
330,sviare+V
331,tossicchiò+V
332,seghettare+V
333,gargarizzerò+V
334,idore+A
335,stiracchiare+V
336,intere+V
337,scrosciare+V
338,abboccare+V
339,reintegrare+V
340,tentare+A
341,rimarcare+V
342,srotolare+V
343,corrire+V
344,canterellare+V
345,becre+V
346,saettare+V
347,standardizzre+V
348,cataraggere+V
349,riattizzar+V
350,marcare+V
351,rivelare+V
352,burocratizze+V
353,rifiatare+V
354,gargarizzare+V
355,spronare+V
356,disseminò+V
357,decomprimrre+V
358,risconre+V
359,sciroppare+V
360,sostare+V
361,disinfettare+V
362,difendrre+V
363,relazionare+V
364,pudibonde+V
365,affrontare+V
366,dichiarare+V
367,riorientre+V
368,ristori+V
369,beneficiarere+V
370,aggrinzare+A
371,sottovalutazioire+V
372,collimò+V
373,benefiere+V
374,disidratare+V
375,fiscalizzare+V
376,contaminarere+V
377,indulgrre+V
378,compendere+V
379,tamponare+V
380,contempare+V
381,costeggere+V
382,naufragare+V
383,riconsiderare+V
384,autoreplicare+V
385,schivare+V
386,riluttare+V
387,accantonare+V
388,sdottoreggiare+V
389,resusciterà+V
390,discutare+V
391,incerare+V
392,ardire+V
393,sciupare+V
394,ricondulere+V
395,sottrarre+V
396,torrefire+V
397,riavvolgrre+V
398,romanzo+V
399,riabbattare+V
